,Ticker,GARCH_CI,GARCH_Direction,GARCH_RMSE,FIGARCH_CI,FIGARCH_Direction,FIGARCH_RMSE,APARCH_CI,APARCH_Direction,APARCH_RMSE,HARCH_CI,HARCH_Direction,HARCH_RMSE
251,PFE,0.8402652200120555,0.5352622061482821,0.1390823580288299,0.8438818565400844,0.5370705244122965,0.13829681854307208,0.8456901748040988,0.5358649789029536,0.15307295210988098,0.8414707655213984,0.5340566606389391,0.13906211103768684
252,CTLT,0.8957831325301204,0.5451807228915663,0.2216394942979494,0.9012048192771084,0.5457831325301205,0.2209235141518902,0.8963855421686747,0.5457831325301205,0.22320752682378142,0.9048192771084337,0.5421686746987951,0.2213087136478481
253,ZTS,0.8674698795180723,0.5379518072289157,0.15211430436794132,0.8644578313253012,0.5397590361445783,0.1522810850276745,0.8734939759036144,0.5397590361445783,1.00983241249862,0.8608433734939759,0.5343373493975904,0.15223192081740136
254,LLY,0.8560240963855422,0.55,0.16465142008083508,0.8530120481927711,0.5463855421686747,0.16526484287393628,0.8614457831325302,0.541566265060241,4.00189857345905,0.8578313253012049,0.5445783132530121,0.1649353641899761
255,OGN,0.9375,0.5173611111111112,0.12205630381392558,0.9375,0.5173611111111112,0.12300126100713003,0.9375,0.5138888888888888,0.12335416847046667,0.9375,0.5104166666666666,0.11870603148128035
256,MRK,0.890295358649789,0.5262206148282098,0.128128474357107,0.891500904159132,0.5250150693188668,0.12586817912008963,0.8933092224231465,0.5256178420735382,0.12652863557671254,0.8884870403857745,0.5238095238095238,0.12853820112694453
257,JNJ,0.8885542168674698,0.5487951807228916,0.12079659694536489,0.8897590361445783,0.5518072289156627,0.12037095010259326,0.8927710843373494,0.5433734939759036,2.132091483943944,0.8897590361445783,0.5457831325301205,0.12052431533239032
258,GD,0.9144578313253012,0.5524096385542169,0.12984534100122352,0.9150602409638554,0.5536144578313253,0.1293533366402613,0.9126506024096386,0.55,9.821761443608162,0.9126506024096386,0.553012048192771,0.13011808153016396
259,LMT,0.8891566265060241,0.5506024096385542,0.15453051565720835,0.8897590361445783,0.5524096385542169,0.1546029330334189,0.8878842676311031,0.55,1.3246857735263908,0.8909638554216868,0.553012048192771,0.15442078748250965
260,TXT,0.8891566265060241,0.5307228915662651,0.23375149705283024,0.8885542168674698,0.5349397590361445,0.23204956715032166,0.8837349397590362,0.5331325301204819,1.295461324575329,0.8897590361445783,0.5313253012048192,0.2338956958258569
261,RTX,0.9185059422750425,0.565365025466893,0.11795560528710243,0.9185059422750425,0.567062818336163,0.11815201347247133,0.9134125636672326,0.5585738539898133,0.15172083656268043,0.9219015280135824,0.567062818336163,0.11766670253141787
262,HII,0.8939759036144578,0.555421686746988,0.15209377953549327,0.8933734939759036,0.5578313253012048,0.1521357925839394,0.892706449668475,0.5548192771084337,1.5494628909818557,0.8963855421686747,0.5566265060240964,0.15252236323030344
