,Ticker,GARCH_CI,GARCH_Direction,GARCH_RMSE,FIGARCH_CI,FIGARCH_Direction,FIGARCH_RMSE,APARCH_CI,APARCH_Direction,APARCH_RMSE,HARCH_CI,HARCH_Direction,HARCH_RMSE,EGARCH_CI,EGARCH_Direction,EGARCH_RMSE
183,WTW,0.4892086330935252,0.5436793422404933,0.436375727232056,0.5066803699897225,0.5457348406988695,0.4348339179638259,0.5,0.5375128468653648,4.539367078668298,0.5210688591983555,0.5529290853031861,0.435905322256539,0.5816216216216217,0.5323741007194245,1.1818497225347982e+152
184,CB,0.9843373493975904,0.5469879518072289,0.0775860605883415,0.9825301204819276,0.5385542168674698,0.0761684133103231,0.9800362976406534,0.5427710843373494,190577.2897817542,0.9680722891566264,0.5373493975903615,0.119306098492809,0.9170854271356784,0.5307228915662651,21.95712068775458
185,AFL,0.9753012048192772,0.5439759036144578,0.0910303162540515,0.9783132530120482,0.5367469879518072,0.0911966182823113,0.9764350453172206,0.541566265060241,37158.42926873624,0.9596385542168676,0.5301204819277109,0.157646288047436,0.8658854166666666,0.5277108433734939,5.224010080811027e+151
186,MET,0.9849306811332128,0.5726341169379144,0.6386022833090235,0.9873417721518988,0.5816757082579868,0.6383579177983405,0.9842900302114804,0.569620253164557,5.702910140031615,0.976491862567812,0.5726341169379144,0.648526116808578,0.8323624595469256,0.5611814345991561,1.0451168578195441e+152
187,AJG,0.9903614457831326,0.55,0.070198655550314,0.9903614457831326,0.5493975903614458,0.0678905306250435,0.9879154078549848,0.5542168674698795,132.1877328504177,0.9795180722891568,0.5469879518072289,0.1051947019730709,0.8521452145214522,0.5337349397590362,1.4775731812513448e+152
188,AIZ,0.972289156626506,0.5421686746987951,0.1093800348242766,0.9710843373493976,0.5421686746987951,0.1110681773052356,0.9746835443037974,0.5397590361445783,2.4413679329836064,0.963855421686747,0.5409638554216868,0.1395107365349391,0.8465982028241335,0.5349397590361445,1.7326081339084374e+152
189,ACGL,0.989156626506024,0.5644578313253013,0.0803842781544947,0.983132530120482,0.5656626506024096,0.0800401790637432,0.9891304347826086,0.553012048192771,566.150365343507,0.9710843373493976,0.5698795180722892,0.1404713869696002,0.855663430420712,0.541566265060241,1.0448020161622054e+152
190,HIG,0.9819277108433736,0.5451807228915663,0.1163991334242858,0.980722891566265,0.5391566265060241,0.1071819422929389,0.981280193236715,0.55,6909.242263224399,0.9698795180722892,0.5403614457831325,0.1726967707253221,0.8875399361022365,0.5319277108433735,1.3821431520320414e+152
191,PRU,0.9855421686746988,0.5728915662650602,0.1140840543041574,0.9867469879518072,0.5680722891566266,0.1177669573399927,0.9843279083785412,0.5759036144578313,0.2194252786364425,0.9765060240963856,0.5620481927710843,0.1699715953443276,0.863843648208469,0.5487951807228916,1.0448020161622054e+152
192,CINF,0.9728915662650602,0.516867469879518,0.1131591875751188,0.9710843373493976,0.519277108433735,0.1158441265911518,0.9722054380664652,0.5096385542168674,61476.14835296776,0.9572289156626506,0.5228915662650603,0.1501402445240451,0.7992177314211213,0.5228915662650603,1.1681241655837625e+152
