,Ticker,Start,End,NA_Count,Days,Percent_NA
198,LNC,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
199,WRB,2016-01-04,2022-12-30,1332,2552,0.008155368338557994
200,AIG,2016-01-04,2022-12-30,0,2552,0.0
201,MRNA,2018-12-20,2022-12-30,612,1471,0.006500679809653297
202,AMGN,2016-01-04,2022-12-30,0,2552,0.0
203,VRTX,2016-01-04,2022-12-30,0,2552,0.0
204,BIIB,2016-01-04,2022-12-30,60,2552,0.000367358934169279
205,REGN,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
206,ABBV,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
207,GILD,2016-01-04,2022-12-30,0,2552,0.0
208,INCY,2016-01-04,2022-12-30,0,2552,0.0
209,BDX,2016-01-04,2022-12-30,0,2552,0.0
210,BSX,2016-01-04,2022-12-30,0,2552,0.0
211,ALGN,2016-01-04,2022-12-30,0,2552,0.0
212,EW,2016-01-04,2022-12-30,0,2552,0.0
213,ABT,2016-01-04,2022-12-30,0,2552,0.0
214,IDXX,2016-01-04,2022-12-30,324,2552,0.0019837382445141065
215,TFX,2016-01-04,2022-12-30,1224,2552,0.007494122257053292
216,ZBH,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
217,COO,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
218,RMD,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
219,MDT,2016-01-04,2022-12-30,0,2552,0.0
220,STE,2016-01-04,2022-12-30,936,2552,0.005730799373040753
221,SYK,2016-01-04,2022-12-30,0,2552,0.0
222,HOLX,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
223,ISRG,2016-01-04,2022-12-30,0,2552,0.0
224,DXCM,2016-01-04,2022-12-30,0,2552,0.0
225,BAX,2016-01-04,2022-12-30,0,2552,0.0
226,XRAY,2016-01-04,2022-12-30,396,2552,0.0024245689655172415
227,CI,2016-01-04,2022-12-30,0,2552,0.0
228,UNH,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
229,ABC,2016-01-04,2022-12-30,0,2552,0.0
230,UHS,2016-01-04,2022-12-30,0,2552,0.0
231,DGX,2016-01-04,2022-12-30,72,2552,0.0004408307210031348
232,HSIC,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
233,ELV,2022-06-28,2022-12-30,0,185,0.0
234,MOH,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
235,CNC,2016-01-04,2022-12-30,0,2552,0.0
236,HCA,2016-01-04,2022-12-30,0,2552,0.0
237,CAH,2016-01-04,2022-12-30,0,2552,0.0
238,DVA,2016-01-04,2022-12-30,36,2552,0.0002204153605015674
239,MCK,2016-01-04,2022-12-30,0,2552,0.0
240,HUM,2016-01-04,2022-12-30,0,2552,0.0
241,CVS,2016-01-04,2022-12-30,48,2552,0.0002938871473354232
242,LH,2016-01-04,2022-12-30,0,2552,0.0
243,WAT,2016-01-04,2022-12-30,96,2552,0.0005877742946708464
244,TECH,2016-01-04,2022-12-30,2604,2552,0.01594337774294671
245,CRL,2016-01-04,2022-12-30,108,2552,0.0006612460815047022
246,A,2016-01-04,2022-12-30,0,2552,0.0
247,IQV,2017-11-20,2022-12-30,0,1866,0.0
248,ILMN,2016-01-04,2022-12-30,0,2552,0.0
249,DHR,2016-01-04,2022-12-30,60,2552,0.000367358934169279
250,PKI,2016-01-04,2022-12-30,168,2552,0.0010286050156739811
251,WST,2016-01-04,2022-12-30,1812,2552,0.011094239811912225
252,MTD,2016-01-04,2022-12-30,1584,2552,0.009698275862068966
253,BIO,2016-01-04,2022-12-30,912,2552,0.00558385579937304
254,TMO,2016-01-04,2022-12-30,0,2552,0.0
255,BMY,2016-01-04,2022-12-30,0,2552,0.0
256,VTRS,2020-11-17,2022-12-30,0,773,0.0
257,PFE,2016-01-04,2022-12-30,84,2552,0.0005143025078369906
258,CTLT,2016-01-04,2022-12-30,1872,2552,0.011461598746081506
259,ZTS,2016-01-04,2022-12-30,0,2552,0.0
260,LLY,2016-01-04,2022-12-30,12,2552,7.34717868338558e-05
261,OGN,2021-06-16,2022-12-30,60,562,0.0016681494661921709
262,MRK,2016-01-04,2022-12-30,0,2552,0.0
263,JNJ,2016-01-04,2022-12-30,72,2552,0.0004408307210031348
264,GD,2016-01-04,2022-12-30,0,2552,0.0
